WRN 2026-08-29T06:19:03.780 ui.102429  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T09:52:05.879 ui.3599    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T09:52:05.880 ui.3599    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T09:52:05.880 ui.3599    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T09:52:05.880 ui.3599    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T09:52:05.880 ui.3599    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:03:05.158 ui.21646   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:03:05.158 ui.21646   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:03:05.158 ui.21646   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:03:05.158 ui.21646   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:03:05.158 ui.21646   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:07:20.816 ui.62649   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:07:20.816 ui.62649   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:07:20.816 ui.62649   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:07:20.816 ui.62649   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:07:20.816 ui.62649   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:22:19.862 ui.149292  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:22:19.862 ui.149292  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:22:19.862 ui.149292  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:22:19.862 ui.149292  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:22:19.862 ui.149292  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:24:40.128 ui.173448  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:24:40.128 ui.173448  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:24:40.128 ui.173448  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:24:40.128 ui.173448  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:24:40.128 ui.173448  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:25:30.579 ui.175293  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:25:30.579 ui.175293  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:25:30.579 ui.175293  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:25:30.579 ui.175293  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:25:30.579 ui.175293  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:25:56.987 ui.176961  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:25:56.987 ui.176961  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:25:56.987 ui.176961  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:25:56.987 ui.176961  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:25:56.987 ui.176961  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:28:08.615 ui.182233  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:28:08.616 ui.182233  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:28:08.616 ui.182233  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:28:08.616 ui.182233  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:28:08.616 ui.182233  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:28:20.650 ui.182770  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:28:20.650 ui.182770  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:28:20.650 ui.182770  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:28:20.650 ui.182770  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:28:20.650 ui.182770  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:28:46.391 ui.183775  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:28:46.391 ui.183775  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:28:46.391 ui.183775  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:28:46.391 ui.183775  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:28:46.391 ui.183775  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:29:52.518 ui.186132  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:29:52.518 ui.186132  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:29:52.518 ui.186132  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:29:52.518 ui.186132  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:29:52.518 ui.186132  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:31:11.309 ui.189453  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:31:11.309 ui.189453  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:31:11.309 ui.189453  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:31:11.309 ui.189453  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:31:11.309 ui.189453  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:35:47.209 ui.224024  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:35:47.209 ui.224024  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:35:47.209 ui.224024  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:35:47.209 ui.224024  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:35:47.209 ui.224024  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:36:20.786 ui.225630  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:36:20.786 ui.225630  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:36:20.786 ui.225630  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:36:20.786 ui.225630  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:36:20.786 ui.225630  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:41:12.356 ui.239791  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:41:12.357 ui.239791  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:41:12.357 ui.239791  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:41:12.357 ui.239791  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:41:12.357 ui.239791  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:42:31.244 ui.243164  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:42:31.244 ui.243164  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:42:31.244 ui.243164  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:42:31.244 ui.243164  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:42:31.244 ui.243164  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:42:51.845 ui.243991  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:42:51.845 ui.243991  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:42:51.845 ui.243991  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:42:51.845 ui.243991  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:42:51.845 ui.243991  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:43:27.262 ui.245211  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:43:27.263 ui.245211  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:43:27.263 ui.245211  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:43:27.263 ui.245211  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
